# zooid     P          Nclass  image
ASW0000f1r  0.9783549  38       http://spacewarps.org/subjects/standard/5183f151e4bb210219004c2f.png
ASW0000z2o  0.9865666  5       http://spacewarps.org/subjects/standard/5183f151e4bb21021900b190.png
ASW0006kfw  0.9711530  4       http://spacewarps.org/subjects/standard/5183f151e4bb21021904acfc.png
ASW000782y  0.9769749  3       http://spacewarps.org/subjects/standard/5183f151e4bb2102190524aa.png
ASW0008ovm  0.9990337  4       http://spacewarps.org/subjects/standard/5183f151e4bb210219062ff2.png
ASW0007j55  0.9950703  5       http://spacewarps.org/subjects/standard/5183f151e4bb210219055ca9.png
ASW0005e91  0.9873135  5       http://spacewarps.org/subjects/standard/5183f151e4bb21021903d765.png
ASW0008sfm  0.9625094  4       http://spacewarps.org/subjects/standard/5183f151e4bb2102190641f2.png
ASW00068qs  0.9988921  4       http://spacewarps.org/subjects/standard/5183f151e4bb2102190471c4.png
ASW0003cgt  0.9947746  9       http://spacewarps.org/subjects/standard/5183f151e4bb2102190261dd.png
ASW0002ndy  0.9891374  8       http://spacewarps.org/subjects/standard/5183f151e4bb21021901e2e6.png
ASW00017t0  0.9840431  7       http://spacewarps.org/subjects/standard/5183f151e4bb21021900ddc4.png
ASW00007kv  0.9739891  19       http://spacewarps.org/subjects/standard/5183f151e4bb21021900265f.png
ASW00007kt  0.9590193  25       http://spacewarps.org/subjects/standard/5183f151e4bb21021900265d.png
ASW0008k0y  0.9980349  6       http://spacewarps.org/subjects/standard/5183f151e4bb210219061762.png
ASW0000ywz  0.9941565  8       http://spacewarps.org/subjects/standard/5183f151e4bb21021900b0c3.png
ASW0000lao  0.9641700  33       http://spacewarps.org/subjects/standard/5183f151e4bb210219006bd0.png
ASW0007l4e  0.9595729  3       http://spacewarps.org/subjects/standard/5183f151e4bb2102190566ae.png
ASW00072nt  0.9754108  6       http://spacewarps.org/subjects/standard/5183f151e4bb210219050939.png
ASW0003w99  0.9937264  5       http://spacewarps.org/subjects/standard/5183f151e4bb21021902c60d.png
ASW0007z0t  0.9677844  4       http://spacewarps.org/subjects/standard/5183f151e4bb21021905ad0d.png
ASW0002ymg  0.9985236  4       http://spacewarps.org/subjects/standard/5183f151e4bb210219021bc8.png
ASW0007kjk  0.9796548  3       http://spacewarps.org/subjects/standard/5183f151e4bb2102190563c0.png
ASW0003bi8  0.9646027  6       http://spacewarps.org/subjects/standard/5183f151e4bb210219025d00.png
ASW0007hox  0.9718353  3       http://spacewarps.org/subjects/standard/5183f151e4bb210219055551.png
ASW0008l57  0.9841085  3       http://spacewarps.org/subjects/standard/5183f151e4bb210219061d0b.png
ASW0005by6  0.9978073  4       http://spacewarps.org/subjects/standard/5183f151e4bb21021903cbbe.png
ASW0004o73  0.9977859  6       http://spacewarps.org/subjects/standard/5183f151e4bb21021903537f.png
ASW00078hi  0.9933295  7       http://spacewarps.org/subjects/standard/5183f151e4bb2102190526b6.png
ASW00014kh  0.9619906  9       http://spacewarps.org/subjects/standard/5183f151e4bb21021900cd61.png
ASW0003f8d  0.9964893  5       http://spacewarps.org/subjects/standard/5183f151e4bb210219026fdd.png
ASW0005wyl  0.9829442  5       http://spacewarps.org/subjects/standard/5183f151e4bb21021904361d.png
ASW0008l9t  0.9624428  3       http://spacewarps.org/subjects/standard/5183f151e4bb210219061db1.png
ASW0007sx4  0.9821728  3       http://spacewarps.org/subjects/standard/5183f151e4bb210219058e28.png
ASW0005y9p  0.9777790  4       http://spacewarps.org/subjects/standard/5183f151e4bb210219043cbd.png
ASW0005y9m  0.9573558  3       http://spacewarps.org/subjects/standard/5183f151e4bb210219043cba.png
ASW0007su7  0.9878482  4       http://spacewarps.org/subjects/standard/5183f151e4bb210219058dbf.png
ASW00033r4  0.9915836  7       http://spacewarps.org/subjects/standard/5183f151e4bb2102190235c0.png
ASW0001qtt  0.9809363  19       http://spacewarps.org/subjects/standard/5183f151e4bb210219013e11.png
ASW0005kg0  0.9731767  3       http://spacewarps.org/subjects/standard/5183f151e4bb21021903f6c0.png
ASW0005kge  0.9546053  4       http://spacewarps.org/subjects/standard/5183f151e4bb21021903f6ce.png
ASW00086or  0.9630595  3       http://spacewarps.org/subjects/standard/5183f151e4bb21021905d3db.png
ASW00084c7  0.9966232  5       http://spacewarps.org/subjects/standard/5183f151e4bb21021905c7f7.png
ASW0004uhl  0.9981695  4       http://spacewarps.org/subjects/standard/5183f151e4bb210219037359.png
ASW00068t9  0.9812395  3       http://spacewarps.org/subjects/standard/5183f151e4bb21021904721d.png
ASW00068tb  0.9965555  5       http://spacewarps.org/subjects/standard/5183f151e4bb21021904721f.png
