# zooid     P          Nclass  image
ASW00025y2  0.3597958  50       http://spacewarps.org/subjects/standard/5183f151e4bb210219018a9a.png
ASW0005u3l  0.9938785  6       http://spacewarps.org/subjects/standard/5183f151e4bb2102190427a1.png
ASW000821u  0.0000591  25       http://spacewarps.org/subjects/standard/5183f151e4bb21021905bc62.png
ASW000069x  0.1462216  50       http://spacewarps.org/subjects/standard/5183f151e4bb210219001fc5.png
ASW0004ne0  0.9530076  9       http://spacewarps.org/subjects/standard/5183f151e4bb210219034f68.png
ASW0009bb3  0.0000077  23       http://spacewarps.org/subjects/standard/5183f151e4bb21021906a17f.png
ASW00063kj  0.9788980  13       http://spacewarps.org/subjects/standard/5183f151e4bb210219045793.png
ASW0006oqk  0.1539691  32       http://spacewarps.org/subjects/standard/5183f151e4bb21021904c2bc.png
ASW00051j4  0.0000001  7       http://spacewarps.org/subjects/standard/5183f151e4bb210219039700.png
ASW0006zkf  0.0055855  21       http://spacewarps.org/subjects/standard/5183f151e4bb21021904f98f.png
ASW0002ucd  0.0000001  5       http://spacewarps.org/subjects/standard/5183f151e4bb21021902061d.png
ASW00006s9  0.0000010  50       http://spacewarps.org/subjects/standard/5183f151e4bb210219002259.png
ASW00012kq  0.9711313  7       http://spacewarps.org/subjects/standard/5183f151e4bb21021900c34a.png
ASW0002cso  0.0000001  6       http://spacewarps.org/subjects/standard/5183f151e4bb21021901ad48.png
ASW00009mv  0.8451406  50       http://spacewarps.org/subjects/standard/5183f151e4bb2102190030c7.png
ASW0008598  0.0000001  6       http://spacewarps.org/subjects/standard/5183f151e4bb21021905cc9c.png
ASW00052s9  0.9971435  15       http://spacewarps.org/subjects/standard/5183f151e4bb210219039d59.png
ASW0008o83  0.0000001  5       http://spacewarps.org/subjects/standard/5183f151e4bb210219062ca3.png
ASW0006rtm  0.0000001  10       http://spacewarps.org/subjects/standard/5183f151e4bb21021904d25a.png
ASW0002754  0.9847435  14       http://spacewarps.org/subjects/standard/5183f151e4bb2102190190a8.png
ASW0009d7c  0.9873836  15       http://spacewarps.org/subjects/standard/5183f151e4bb21021906ab18.png
ASW00022ti  0.9912356  25       http://spacewarps.org/subjects/standard/5183f151e4bb210219017ac6.png
ASW00022tj  0.9913521  16       http://spacewarps.org/subjects/standard/5183f151e4bb210219017ac7.png
ASW0009d7g  0.0000856  21       http://spacewarps.org/subjects/standard/5183f151e4bb21021906ab1c.png
ASW00015ou  0.0000005  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021900d30e.png
ASW00072fj  0.0000001  6       http://spacewarps.org/subjects/standard/5183f151e4bb21021905080f.png
ASW0008r8n  0.9537904  3       http://spacewarps.org/subjects/standard/5183f151e4bb210219063be7.png
ASW00023e3  0.9622513  31       http://spacewarps.org/subjects/standard/5183f151e4bb210219017dab.png
ASW00097tc  0.9644170  16       http://spacewarps.org/subjects/standard/5183f151e4bb210219068fd0.png
ASW0001r0q  0.9992778  45       http://spacewarps.org/subjects/standard/5183f151e4bb210219013f0a.png
ASW0002bmu  0.0000001  5       http://spacewarps.org/subjects/standard/5183f151e4bb21021901a766.png
ASW0007dr4  0.9146832  30       http://spacewarps.org/subjects/standard/5183f151e4bb210219054160.png
ASW0002pc9  0.0000874  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021901ecc9.png
ASW0001s10  0.9558911  34       http://spacewarps.org/subjects/standard/5183f151e4bb210219014424.png
ASW0002194  0.0000001  43       http://spacewarps.org/subjects/standard/5183f151e4bb2102190172d8.png
ASW0007do1  0.0000386  25       http://spacewarps.org/subjects/standard/5183f151e4bb2102190540f1.png
ASW0007u4o  0.0000075  40       http://spacewarps.org/subjects/standard/5183f151e4bb210219059448.png
ASW0006fv2  0.9985743  13       http://spacewarps.org/subjects/standard/5183f151e4bb2102190495ce.png
ASW0004cn3  0.9937127  21       http://spacewarps.org/subjects/standard/5183f151e4bb2102190318ff.png
ASW0004cn2  0.9972566  8       http://spacewarps.org/subjects/standard/5183f151e4bb2102190318fe.png
ASW00055xa  0.9891456  11       http://spacewarps.org/subjects/standard/5183f151e4bb21021903ad3e.png
ASW0008qe8  0.9989450  13       http://spacewarps.org/subjects/standard/5183f151e4bb2102190637a0.png
ASW0006ouo  0.0000001  12       http://spacewarps.org/subjects/standard/5183f151e4bb21021904c350.png
ASW0000f1h  0.9536387  42       http://spacewarps.org/subjects/standard/5183f151e4bb210219004c25.png
ASW0000f1i  0.0016157  50       http://spacewarps.org/subjects/standard/5183f151e4bb210219004c26.png
ASW0000bgu  0.0000002  50       http://spacewarps.org/subjects/standard/5183f151e4bb210219003a0e.png
ASW0000kut  0.0000056  50       http://spacewarps.org/subjects/standard/5183f151e4bb210219006995.png
ASW0004d3d  0.9872799  14       http://spacewarps.org/subjects/standard/5183f151e4bb210219031b49.png
ASW0005n6v  0.9972069  4       http://spacewarps.org/subjects/standard/5183f151e4bb2102190404a7.png
ASW00025r0  0.9507088  22       http://spacewarps.org/subjects/standard/5183f151e4bb21021901899c.png
ASW0002i7l  0.9865697  6       http://spacewarps.org/subjects/standard/5183f151e4bb21021901c8b1.png
ASW0004pe2  0.2022948  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021903598a.png
ASW00068qq  0.9520676  16       http://spacewarps.org/subjects/standard/5183f151e4bb2102190471c2.png
ASW0000njn  0.9895404  20       http://spacewarps.org/subjects/standard/5183f151e4bb210219007733.png
ASW0002qp8  0.9857259  18       http://spacewarps.org/subjects/standard/5183f151e4bb21021901f3ac.png
ASW0006bar  0.0000001  7       http://spacewarps.org/subjects/standard/5183f151e4bb210219047eb3.png
ASW000581b  0.9620308  3       http://spacewarps.org/subjects/standard/5183f151e4bb21021903b7ef.png
ASW0005ltt  0.0000001  7       http://spacewarps.org/subjects/standard/5183f151e4bb21021903fdc1.png
ASW0001u9h  0.9859180  12       http://spacewarps.org/subjects/standard/5183f151e4bb210219014f75.png
ASW000879s  0.9932613  8       http://spacewarps.org/subjects/standard/5183f151e4bb21021905d6d0.png
ASW00024pj  0.9986358  27       http://spacewarps.org/subjects/standard/5183f151e4bb210219018457.png
ASW0001b78  0.0001102  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021900eef4.png
ASW0008wld  0.0004218  20       http://spacewarps.org/subjects/standard/5183f151e4bb210219065701.png
ASW00014kt  0.0006146  43       http://spacewarps.org/subjects/standard/5183f151e4bb21021900cd6d.png
ASW0005v3p  0.0000001  6       http://spacewarps.org/subjects/standard/5183f151e4bb210219042cb5.png
ASW0004qq8  0.9676146  6       http://spacewarps.org/subjects/standard/5183f151e4bb210219036050.png
ASW0008q5a  0.0002212  32       http://spacewarps.org/subjects/standard/5183f151e4bb21021906365e.png
ASW0007soj  0.9921910  22       http://spacewarps.org/subjects/standard/5183f151e4bb210219058cf3.png
ASW0000hsj  0.4064652  50       http://spacewarps.org/subjects/standard/5183f151e4bb210219005a13.png
ASW00048l5  0.9726988  22       http://spacewarps.org/subjects/standard/5183f151e4bb210219030479.png
ASW000872e  0.0000001  6       http://spacewarps.org/subjects/standard/5183f151e4bb21021905d5c6.png
ASW00099fc  0.9897688  15       http://spacewarps.org/subjects/standard/5183f151e4bb2102190697f8.png
ASW0007su4  0.9920828  6       http://spacewarps.org/subjects/standard/5183f151e4bb210219058dbc.png
ASW0003vfq  0.9697387  36       http://spacewarps.org/subjects/standard/5183f151e4bb21021902c1e6.png
ASW0001hgh  0.9977599  48       http://spacewarps.org/subjects/standard/5183f151e4bb210219010ea1.png
ASW00077je  0.9630531  3       http://spacewarps.org/subjects/standard/5183f151e4bb2102190521ea.png
ASW00077jj  0.9668206  12       http://spacewarps.org/subjects/standard/5183f151e4bb2102190521ef.png
ASW000662u  0.0000001  5       http://spacewarps.org/subjects/standard/5183f151e4bb210219046446.png
ASW0002vbp  0.0000001  50       http://spacewarps.org/subjects/standard/5183f151e4bb210219020b15.png
ASW0009bzf  0.8752989  22       http://spacewarps.org/subjects/standard/5183f151e4bb21021906a4eb.png
ASW0000btm  0.9865619  42       http://spacewarps.org/subjects/standard/5183f151e4bb210219003bda.png
ASW0000qma  0.0177161  50       http://spacewarps.org/subjects/standard/5183f151e4bb2102190086c2.png
ASW00084c0  0.2538636  35       http://spacewarps.org/subjects/standard/5183f151e4bb21021905c7f0.png
