# zooid     P          Nclass  image
ASW0000z1f  0.0000033  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021900b163.png
ASW0008f3f  0.0002000  1       http://spacewarps.org/subjects/standard/5183f151e4bb21021905fe6b.png
ASW0002cy7  0.0351259  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021901ae0f.png
ASW0008cho  0.0001059  1       http://spacewarps.org/subjects/standard/5183f151e4bb21021905f13c.png
ASW0008ks9  0.0000819  1       http://spacewarps.org/subjects/standard/5183f151e4bb210219061b39.png
ASW0000hqb  0.0000001  49       http://spacewarps.org/subjects/standard/5183f151e4bb2102190059c3.png
ASW0008mey  0.0000123  7       http://spacewarps.org/subjects/standard/5183f151e4bb21021906237a.png
ASW0000crt  0.0000007  50       http://spacewarps.org/subjects/standard/5183f151e4bb2102190040a9.png
ASW0008pan  0.0001296  4       http://spacewarps.org/subjects/standard/5183f151e4bb21021906320f.png
ASW0001yx2  0.0000006  49       http://spacewarps.org/subjects/standard/5183f151e4bb210219016706.png
ASW0002nt8  0.0000026  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021901e50c.png
ASW0009an9  0.0000019  50       http://spacewarps.org/subjects/standard/5183f151e4bb210219069e25.png
ASW0002sbz  0.0000005  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021901fbef.png
ASW0002v9m  0.0000003  50       http://spacewarps.org/subjects/standard/5183f151e4bb210219020aca.png
ASW0008eao  0.0001221  1       http://spacewarps.org/subjects/standard/5183f151e4bb21021905fa60.png
ASW0007e57  0.9999971  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021905435b.png
ASW0008pag  0.3453444  43       http://spacewarps.org/subjects/standard/5183f151e4bb210219063208.png
ASW00024q6  0.0000001  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021901846e.png
ASW0006wdu  0.0000078  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021904e972.png
ASW0007t5y  1.0000000  49       http://spacewarps.org/subjects/standard/5183f151e4bb210219058f66.png
ASW000191u  0.0000016  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021900e412.png
ASW00086s8  0.0000002  46       http://spacewarps.org/subjects/standard/5183f151e4bb21021905d458.png
ASW00057fl  0.0001315  40       http://spacewarps.org/subjects/standard/5183f151e4bb21021903b4e1.png
ASW0007h3c  0.0000102  4       http://spacewarps.org/subjects/standard/5183f151e4bb210219055248.png
ASW0009bkm  0.0000006  49       http://spacewarps.org/subjects/standard/5183f151e4bb21021906a2d6.png
ASW0001p1o  0.0000002  49       http://spacewarps.org/subjects/standard/5183f151e4bb21021901350c.png
