# zooid     P          Nclass  image
ASW0009djp  0.2373880  220       http://spacewarps.org/subjects/standard/5183f151e4bb210219002f23.png
ASW0009dgf  0.0675144  250       http://spacewarps.org/subjects/standard/5183f151e4bb21021901f418.png
ASW0009dgg  0.0063487  216       http://spacewarps.org/subjects/standard/5183f151e4bb21021901f17c.png
ASW0009djs  0.1373648  153       http://spacewarps.org/subjects/standard/5183f151e4bb210219007059.png
ASW0009djr  0.0011324  157       http://spacewarps.org/subjects/standard/5183f151e4bb2102190027cc.png
ASW0009diy  0.0459650  163       http://spacewarps.org/subjects/standard/5183f151e4bb210219000378.png
ASW0009dhv  0.2635512  213       http://spacewarps.org/subjects/standard/5183f151e4bb210219003e94.png
ASW0009dht  0.0720427  145       http://spacewarps.org/subjects/standard/5183f151e4bb210219003bda.png
ASW0009dia  0.0167557  150       http://spacewarps.org/subjects/standard/5183f151e4bb21021900447e.png
ASW0009deq  0.0000003  210       http://spacewarps.org/subjects/standard/5183f151e4bb210219013aa4.png
ASW0009djg  0.0000082  205       http://spacewarps.org/subjects/standard/5183f151e4bb210219002e77.png
ASW0009dja  0.0082400  160       http://spacewarps.org/subjects/standard/5183f151e4bb21021900301e.png
ASW0009dj9  0.0164232  155       http://spacewarps.org/subjects/standard/5183f151e4bb2102190030d3.png
ASW0009dj1  0.0633451  173       http://spacewarps.org/subjects/standard/5183f151e4bb2102190007d1.png
ASW0009dgv  0.0063949  158       http://spacewarps.org/subjects/standard/5183f151e4bb2102190235ec.png
