# zooid     P          Nclass  image
ASW00086sa  0.2520093  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021905d45a.png
ASW0004nhm  0.2249764  50       http://spacewarps.org/subjects/standard/5183f151e4bb210219034fea.png
ASW000545g  0.0476276  42       http://spacewarps.org/subjects/standard/5183f151e4bb21021903a444.png
ASW0000boq  0.0102850  50       http://spacewarps.org/subjects/standard/5183f151e4bb210219003b2a.png
ASW0000yd5  0.1602090  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021900adf9.png
ASW0002rl1  0.0003449  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021901f825.png
ASW0002n82  0.0463901  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021901e212.png
ASW00064a7  0.0100451  50       http://spacewarps.org/subjects/standard/5183f151e4bb210219045b2f.png
ASW0000ucl  0.1213392  50       http://spacewarps.org/subjects/standard/5183f151e4bb2102190099a5.png
ASW000670r  0.0110361  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021904690b.png
ASW00055uo  0.1740064  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021903ace0.png
ASW0004pmp  0.3910070  49       http://spacewarps.org/subjects/standard/5183f151e4bb210219035ac1.png
ASW0000klj  0.0038368  43       http://spacewarps.org/subjects/standard/5183f151e4bb210219006847.png
ASW0006bve  0.1842523  48       http://spacewarps.org/subjects/standard/5183f151e4bb21021904819a.png
ASW0005897  0.0265844  28       http://spacewarps.org/subjects/standard/5183f151e4bb21021903b90b.png
ASW0003k4w  0.1756739  50       http://spacewarps.org/subjects/standard/5183f151e4bb2102190288b0.png
ASW0000sbx  0.0571646  49       http://spacewarps.org/subjects/standard/5183f151e4bb210219008f6d.png
ASW0000vpf  0.2130082  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021900a083.png
ASW0006frk  0.0623005  49       http://spacewarps.org/subjects/standard/5183f151e4bb210219049550.png
ASW0009cdh  0.0000085  49       http://spacewarps.org/subjects/standard/5183f151e4bb21021906a6e5.png
ASW0006wpc  0.4143693  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021904eb10.png
ASW0005j42  0.0258299  37       http://spacewarps.org/subjects/standard/5183f151e4bb21021903f002.png
ASW0005j44  0.1812237  49       http://spacewarps.org/subjects/standard/5183f151e4bb21021903f004.png
ASW0004ne0  0.0760263  50       http://spacewarps.org/subjects/standard/5183f151e4bb210219034f68.png
ASW0002f2h  0.1528745  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021901b8c9.png
ASW0006yrw  0.2220655  37       http://spacewarps.org/subjects/standard/5183f151e4bb21021904f58c.png
ASW00031y6  0.2311694  50       http://spacewarps.org/subjects/standard/5183f151e4bb210219022c9e.png
ASW0000wen  0.0007655  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021900a40f.png
ASW0008xbu  0.7811724  39       http://spacewarps.org/subjects/standard/5183f151e4bb210219065aba.png
ASW0004oit  0.3254081  50       http://spacewarps.org/subjects/standard/5183f151e4bb210219035525.png
ASW0002xve  0.1164096  50       http://spacewarps.org/subjects/standard/5183f151e4bb2102190217fa.png
ASW0001b1w  0.2235351  35       http://spacewarps.org/subjects/standard/5183f151e4bb21021900ee34.png
ASW0005iac  0.1593479  44       http://spacewarps.org/subjects/standard/5183f151e4bb21021903ebd4.png
ASW0005zw9  0.3520779  25       http://spacewarps.org/subjects/standard/5183f151e4bb2102190444f9.png
ASW0002bii  0.0045057  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021901a6ca.png
ASW0004gnp  0.0275307  43       http://spacewarps.org/subjects/standard/5183f151e4bb210219032d55.png
ASW0005ph2  0.9753108  50       http://spacewarps.org/subjects/standard/5183f151e4bb210219041036.png
ASW00008hh  0.0553904  50       http://spacewarps.org/subjects/standard/5183f151e4bb210219002af5.png
ASW0003un8  0.0434278  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021902bde4.png
ASW00038z2  0.0667188  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021902502e.png
ASW0004jti  0.0055023  46       http://spacewarps.org/subjects/standard/5183f151e4bb210219033d56.png
ASW0000we9  0.5389211  49       http://spacewarps.org/subjects/standard/5183f151e4bb21021900a401.png
ASW0002ffr  0.1561746  46       http://spacewarps.org/subjects/standard/5183f151e4bb21021901baa7.png
ASW0003r50  0.0411525  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021902ac24.png
ASW0007lwg  0.1331264  50       http://spacewarps.org/subjects/standard/5183f151e4bb210219056aa0.png
ASW0006kyi  0.0510416  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021904af9a.png
ASW0009b2e  0.2366782  30       http://spacewarps.org/subjects/standard/5183f151e4bb21021906a046.png
ASW00091eh  0.8612842  5       http://spacewarps.org/subjects/standard/5183f151e4bb210219066f59.png
ASW0007pnf  0.1573070  49       http://spacewarps.org/subjects/standard/5183f151e4bb210219057d9b.png
ASW0008pzv  0.3704138  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021906359b.png
ASW0003uzj  0.1178153  51       http://spacewarps.org/subjects/standard/5183f151e4bb21021902bf9f.png
ASW00033sc  0.1062538  50       http://spacewarps.org/subjects/standard/5183f151e4bb2102190235ec.png
ASW0005m2b  0.0148941  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021903fef3.png
ASW0003qdr  0.2932708  49       http://spacewarps.org/subjects/standard/5183f151e4bb21021902a84f.png
ASW0002dos  0.2055284  50       http://spacewarps.org/subjects/standard/5183f151e4bb21021901b1cc.png
