# zooid     P          Nclass  image
ASW0006kb2  0.9875347  196       http://spacewarps.org/subjects/standard/5183f151e4bb21021904ac4e.png
ASW0004fmt  0.8670666  160       http://spacewarps.org/subjects/standard/5183f151e4bb210219032825.png
ASW0007oeq  1.0000000  144       http://spacewarps.org/subjects/standard/5183f151e4bb210219057752.png
ASW0000bsh  0.6169965  1213       http://spacewarps.org/subjects/standard/5183f151e4bb210219003bb1.png
ASW0005mht  0.9700378  145       http://spacewarps.org/subjects/standard/5183f151e4bb210219040121.png
ASW000747m  0.0283377  138       http://spacewarps.org/subjects/standard/5183f151e4bb210219051112.png
ASW0007hx4  1.0000000  132       http://spacewarps.org/subjects/standard/5183f151e4bb210219055678.png
ASW0004pip  0.8966510  171       http://spacewarps.org/subjects/standard/5183f151e4bb210219035a31.png
ASW00029qd  1.0000000  117       http://spacewarps.org/subjects/standard/5183f151e4bb210219019dc5.png
ASW00081hf  0.6740866  197       http://spacewarps.org/subjects/standard/5183f151e4bb21021905b983.png
ASW0002e8i  1.0000000  140       http://spacewarps.org/subjects/standard/5183f151e4bb21021901b492.png
ASW000549e  1.0000000  161       http://spacewarps.org/subjects/standard/5183f151e4bb21021903a4d2.png
ASW0004g28  1.0000000  200       http://spacewarps.org/subjects/standard/5183f151e4bb210219032a50.png
ASW0005ba8  0.2229566  138       http://spacewarps.org/subjects/standard/5183f151e4bb21021903c860.png
ASW0008na6  1.0000000  106       http://spacewarps.org/subjects/standard/5183f151e4bb2102190627de.png
ASW0002q5z  0.6384697  133       http://spacewarps.org/subjects/standard/5183f151e4bb21021901f0f7.png
ASW0005i2p  1.0000000  192       http://spacewarps.org/subjects/standard/5183f151e4bb21021903eac1.png
ASW000760m  1.0000000  204       http://spacewarps.org/subjects/standard/5183f151e4bb210219051a36.png
ASW00016pw  0.9040492  179       http://spacewarps.org/subjects/standard/5183f151e4bb21021900d844.png
ASW00086nl  1.0000000  100       http://spacewarps.org/subjects/standard/5183f151e4bb21021905d3b1.png
ASW00096t4  0.5748135  135       http://spacewarps.org/subjects/standard/5183f151e4bb210219068ab8.png
ASW0001u65  0.2159221  173       http://spacewarps.org/subjects/standard/5183f151e4bb210219014efd.png
ASW000025j  0.9830563  185       http://spacewarps.org/subjects/standard/5183f151e4bb210219000ae7.png
ASW00068fa  0.1376300  119       http://spacewarps.org/subjects/standard/5183f151e4bb210219047026.png
ASW0001dw7  0.5145179  126       http://spacewarps.org/subjects/standard/5183f151e4bb21021900fc97.png
ASW00024qp  1.0000000  105       http://spacewarps.org/subjects/standard/5183f151e4bb210219018481.png
ASW0001460  0.0164365  190       http://spacewarps.org/subjects/standard/5183f151e4bb21021900cb58.png
ASW00098zd  1.0000000  200       http://spacewarps.org/subjects/standard/5183f151e4bb2102190695b9.png
ASW0006hj2  1.0000000  135       http://spacewarps.org/subjects/standard/5183f151e4bb210219049e3e.png
ASW0007a95  0.9169783  98       http://spacewarps.org/subjects/standard/5183f151e4bb210219052fa9.png
ASW0008gn5  1.0000000  155       http://spacewarps.org/subjects/standard/5183f151e4bb210219060641.png
ASW0000a7l  0.8576553  1407       http://spacewarps.org/subjects/standard/5183f151e4bb2102190033b1.png
ASW0003q4i  0.9254238  145       http://spacewarps.org/subjects/standard/5183f151e4bb21021902a702.png
ASW0006y04  0.3309261  202       http://spacewarps.org/subjects/standard/5183f151e4bb21021904f1a4.png
ASW000607n  1.0000000  129       http://spacewarps.org/subjects/standard/5183f151e4bb210219044693.png
ASW00005ou  1.0000000  121       http://spacewarps.org/subjects/standard/5183f151e4bb210219001cce.png
ASW0006irj  0.5460716  204       http://spacewarps.org/subjects/standard/5183f151e4bb21021904a47f.png
ASW0004kxi  0.9824953  120       http://spacewarps.org/subjects/standard/5183f151e4bb2102190342f6.png
ASW0001a14  0.6697848  109       http://spacewarps.org/subjects/standard/5183f151e4bb21021900e908.png
ASW0006bpy  1.0000000  116       http://spacewarps.org/subjects/standard/5183f151e4bb2102190480d6.png
ASW000089m  0.9298900  186       http://spacewarps.org/subjects/standard/5183f151e4bb2102190029da.png
ASW0000lpn  1.0000000  193       http://spacewarps.org/subjects/standard/5183f151e4bb210219006deb.png
ASW0003su2  0.1711071  167       http://spacewarps.org/subjects/standard/5183f151e4bb21021902b4ba.png
ASW00050wv  0.5640353  116       http://spacewarps.org/subjects/standard/5183f151e4bb2102190393df.png
