# filename                           category    grade
CFHTLS_108_1758_9271_o_gri.png       GROUP       A
CFHTLS_108_8302_14612_o_gri.png      GROUP       A
CFHTLS_109_17380_2962_o_gri.png      GALAXY      B
CFHTLS_109_8503_1936_o_gri.png       GALAXY      A
CFHTLS_111_11465_11397_o_gri.png     GALAXY      B
CFHTLS_111_14267_6579_o_gri.png      GALAXY      B
CFHTLS_113_11355_1178_o_gri.png      GROUP       B
CFHTLS_114_3556_12677_o_gri.png      GALAXY      A
CFHTLS_118_8635_904_o_gri.png        GALAXY      B
CFHTLS_119_5478_1610_o_gri.png       GALAXY      A
CFHTLS_120_2013_16116_o_gri.png      GALAXY      B
CFHTLS_120_3328_7479_o_gri.png       GALAXY      B
CFHTLS_121_5922_7000_o_gri.png       GROUP       A
CFHTLS_122_18365_15062_o_gri.png     GROUP       A
CFHTLS_124_12753_16055_o_gri.png     GALAXY      B
CFHTLS_124_1405_12177_o_gri.png      GALAXY      A
CFHTLS_126_12103_3919_o_gri.png      GALAXY      B
CFHTLS_132_11644_12276_o_gri.png     GALAXY      B
CFHTLS_132_12837_11039_o_gri.png     GALAXY      A
CFHTLS_132_5656_18360_o_gri.png      GALAXY      B
CFHTLS_132_6627_6100_o_gri.png       GROUP       A
CFHTLS_134_13542_1489_o_gri.png      GROUP       B
CFHTLS_137_11442_16222_o_gri.png     GROUP       A
CFHTLS_137_18326_6577_o_gri.png      GALAXY      A
CFHTLS_137_6931_11896_o_gri.png      GROUP       A
CFHTLS_138_17049_15291_o_gri.png     GALAXY      A
CFHTLS_139_8052_12936_o_gri.png      GALAXY      B
CFHTLS_139_911_3543_o_gri.png        GROUP       A
CFHTLS_140_14101_2941_o_gri.png      GALAXY      B
CFHTLS_147_16483_13959_o_gri.png     GALAXY      B
CFHTLS_147_5648_2564_o_gri.png       GALAXY      A
CFHTLS_148_2913_6144_o_gri.png       GALAXY      A
CFHTLS_149_12983_5517_o_gri.png      GALAXY      A
CFHTLS_149_5247_8617_o_gri.png       GALAXY      A
CFHTLS_150_7773_7222_o_gri.png       GALAXY      A
CFHTLS_152_1066_16662_o_gri.png      GALAXY      A
CFHTLS_154_10550_9800_o_gri.png      GROUP       A
CFHTLS_154_8998_16525_o_gri.png      GALAXY      A
CFHTLS_155_8541_17936_o_gri.png      GROUP       A
CFHTLS_156_4754_6956_o_gri.png       GROUP       A
CFHTLS_158_3575_546_o_gri.png        GALAXY      A
CFHTLS_164_5826_2736_o_gri.png       GALAXY      A
CFHTLS_165_12457_665_o_gri.png       GALAXY      A
CFHTLS_167_4735_11134_o_gri.png      GALAXY      B
CFHTLS_169_1956_6554_o_gri.png       GALAXY      A
CFHTLS_169_8997_696_o_gri.png        GALAXY      B
CFHTLS_171_9693_10690_o_gri.png      GALAXY      B
